layer_index,activation_effective_rank,activation_effective_rank_ratio,activation_second_moment_effective_rank,activation_second_moment_effective_rank_ratio,activation_token_count,activation_hidden_size,gate_proj_weight_effective_rank,gate_proj_weight_effective_rank_ratio,up_proj_weight_effective_rank,up_proj_weight_effective_rank_ratio,down_proj_weight_effective_rank,down_proj_weight_effective_rank_ratio,average_mlp_weight_effective_rank_ratio,weight_activation_gap
11,298.1661307997103,0.2911778621090921,52.71200997496624,0.05147657224117797,65536,1024,725.152099609375,0.7081563472747803,787.5641479492188,0.7691056132316589,720.080078125,0.7032032012939453,0.7268217206001282,0.4356438584910361
12,297.410779664746,0.2904402145163535,52.84698555923863,0.05160838433519398,65536,1024,716.5463256835938,0.6997522711753845,788.1972045898438,0.7697238326072693,697.298828125,0.6809558868408203,0.7168106635411581,0.4263704490248046
13,299.3761626409108,0.2923595338290145,60.709544782839586,0.05928666482699178,65536,1024,696.1224365234375,0.6798070669174194,769.9320068359375,0.7518867254257202,683.8978881835938,0.6678690314292908,0.6998542745908102,0.4074947407617957
14,298.1413112623489,0.2911536242796376,62.41107857171719,0.06094831891769257,65536,1024,691.8539428710938,0.6756386160850525,766.0294189453125,0.7480756044387817,679.710205078125,0.6637794971466064,0.6958312392234802,0.40467761494384263
15,251.6299821720854,0.24573240446492714,45.20450296717534,0.044145022428882165,65536,1024,691.748046875,0.6755352020263672,766.9595947265625,0.7489839792251587,683.0450439453125,0.6670361757278442,0.6971851189931234,0.45145271452819624
16,219.80522009772315,0.21465353525168276,40.08061576378447,0.03914122633182077,65536,1024,694.9277954101562,0.6786404252052307,776.7125244140625,0.7585083246231079,744.8558349609375,0.7273982763290405,0.7215156753857931,0.5068621401341104
17,197.92164951083603,0.19328286085042581,39.75025996393241,0.03881861324602774,65536,1024,718.0615234375,0.7012319564819336,762.6962890625,0.7448205947875977,743.6959838867188,0.7262656092643738,0.7241060535113016,0.5308231926608759
18,200.4981937471705,0.19579901733122118,44.517997740449,0.043474607168407224,65536,1024,724.9968872070312,0.7080047726631165,771.0169067382812,0.7529461979866028,739.3201293945312,0.7219923138618469,0.7276477615038554,0.5318487441726342
19,207.32949709019636,0.20247021200214488,53.9402480306546,0.052676023467436134,65536,1024,717.2847290039062,0.7004733681678772,767.9550170898438,0.7499560713768005,740.06787109375,0.7227225303649902,0.7243839899698893,0.5219137779677444
20,212.8535873720566,0.20786483141802403,60.03521970189565,0.05862814424013247,65536,1024,729.2288818359375,0.7121375799179077,756.0035400390625,0.738284707069397,756.5963745117188,0.7388636469841003,0.7297619779904684,0.5218971465724443
21,241.33974139415142,0.235683341205226,67.4865064881627,0.06590479149234639,65536,1024,732.3270263671875,0.7151631116867065,763.1197509765625,0.7452341318130493,777.4818115234375,0.7592595815658569,0.7398856083552042,0.5042022671499782
22,252.63023868510336,0.24670921746592125,72.43399697337989,0.0707363251693163,65536,1024,749.0325927734375,0.7314771413803101,780.4302368164062,0.7621389031410217,770.86181640625,0.7527947425842285,0.7488035957018534,0.5020943782359322
23,262.9352776122106,0.2567727320431744,77.1973884005628,0.07538807460992461,65536,1024,756.4586181640625,0.7387291193008423,787.536376953125,0.7690784931182861,756.921875,0.7391815185546875,0.748996376991272,0.49222364494809756
24,276.6342071631844,0.27015059293279725,77.7785549695883,0.07595562008748857,65536,1024,768.392333984375,0.7503831386566162,795.430908203125,0.7767879962921143,761.5188598632812,0.7436707615852356,0.7569472988446554,0.48679670591185814
25,264.3927114227268,0.25819600724875663,66.66602848336964,0.06510354344079067,65536,1024,766.4876098632812,0.7485230565071106,794.277587890625,0.7756617069244385,786.6547241210938,0.7682175040245056,0.7641340891520182,0.5059380819032615
26,190.06757798184532,0.18561286912289582,34.524104328543395,0.03371494563334316,65536,1024,740.85205078125,0.7234883308410645,788.1693725585938,0.7696966528892517,807.00146484375,0.7880873680114746,0.7604241172472636,0.5748112481243677
27,110.6684862810468,0.10807469363383476,20.22106176381552,0.019747130628726094,65536,1024,602.9415283203125,0.5888100862503052,703.3826293945312,0.6868970990180969,824.0828247070312,0.8047683835029602,0.6934918562571207,0.585417162623286
