module_name,layer_index,block_name,out_features,in_features,num_singular_values,effective_rank,effective_rank_ratio,stable_rank,spectral_norm,frobenius_norm
model.layers.16.mlp.up_proj,16,mlp.up_proj,3072,1024,1024,944.0653686523438,0.9219388365745544,205.5553741455078,3.211784839630127,46.048011779785156
model.layers.16.mlp.down_proj,16,mlp.down_proj,1024,3072,1024,939.8836059570312,0.9178550839424133,104.0176010131836,4.146167278289795,42.28635025024414
model.layers.17.mlp.gate_proj,17,mlp.gate_proj,3072,1024,1024,921.4246826171875,0.8998287916183472,89.85310363769531,5.098623752593994,48.33030319213867
model.layers.17.mlp.up_proj,17,mlp.up_proj,3072,1024,1024,935.8984375,0.9139633178710938,184.24752807617188,3.5089027881622314,47.62907409667969
model.layers.17.mlp.down_proj,17,mlp.down_proj,1024,3072,1024,932.0989990234375,0.9102529287338257,146.085205078125,3.523242235183716,42.58391571044922
model.layers.18.mlp.gate_proj,18,mlp.gate_proj,3072,1024,1024,925.9406127929688,0.9042388796806335,78.79100036621094,5.442576885223389,48.310646057128906
model.layers.18.mlp.up_proj,18,mlp.up_proj,3072,1024,1024,940.3292236328125,0.9182902574539185,142.9483184814453,4.023921966552734,48.110408782958984
model.layers.18.mlp.down_proj,18,mlp.down_proj,1024,3072,1024,933.0408935546875,0.9111727476119995,110.69259643554688,4.2213311195373535,44.41285705566406
model.layers.19.mlp.gate_proj,19,mlp.gate_proj,3072,1024,1024,922.6029663085938,0.9009794592857361,73.51045989990234,5.5441484451293945,47.534549713134766
model.layers.19.mlp.up_proj,19,mlp.up_proj,3072,1024,1024,939.1963500976562,0.9171839356422424,117.49590301513672,4.6455159187316895,50.35531234741211
model.layers.19.mlp.down_proj,19,mlp.down_proj,1024,3072,1024,931.4285888671875,0.9095982313156128,129.1743927001953,4.1343994140625,46.989479064941406
model.layers.20.mlp.gate_proj,20,mlp.gate_proj,3072,1024,1024,925.2661743164062,0.9035802483558655,73.72462463378906,5.668671131134033,48.672935485839844
model.layers.20.mlp.up_proj,20,mlp.up_proj,3072,1024,1024,932.2461547851562,0.9103966355323792,118.43338775634766,4.873043537139893,53.03192138671875
model.layers.20.mlp.down_proj,20,mlp.down_proj,1024,3072,1024,929.6741333007812,0.9078848958015442,143.48880004882812,4.162414073944092,49.860233306884766
model.layers.21.mlp.gate_proj,21,mlp.gate_proj,3072,1024,1024,926.7599487304688,0.9050390124320984,70.27545166015625,5.9325714111328125,49.73301315307617
model.layers.21.mlp.up_proj,21,mlp.up_proj,3072,1024,1024,934.3894653320312,0.9124897122383118,154.76011657714844,4.553800106048584,56.65046691894531
model.layers.21.mlp.down_proj,21,mlp.down_proj,1024,3072,1024,938.0148315429688,0.9160301089286804,162.29708862304688,4.205027103424072,53.5703125
model.layers.22.mlp.gate_proj,22,mlp.gate_proj,3072,1024,1024,933.9195556640625,0.912030816078186,70.21148681640625,6.117642402648926,51.261131286621094
model.layers.22.mlp.up_proj,22,mlp.up_proj,3072,1024,1024,941.393798828125,0.9193298816680908,207.56527709960938,4.09319543838501,58.97118377685547
model.layers.22.mlp.down_proj,22,mlp.down_proj,1024,3072,1024,931.1581420898438,0.909334123134613,162.87538146972656,4.430418014526367,56.54216384887695
model.layers.23.mlp.gate_proj,23,mlp.gate_proj,3072,1024,1024,937.2337646484375,0.9152673482894897,67.93750762939453,6.342426776885986,52.27695083618164
model.layers.23.mlp.up_proj,23,mlp.up_proj,3072,1024,1024,944.0136108398438,0.9218882918357849,190.3598175048828,4.366847038269043,60.24979782104492
model.layers.23.mlp.down_proj,23,mlp.down_proj,1024,3072,1024,923.2613525390625,0.9016224145889282,174.1739044189453,4.41358757019043,58.24830627441406
model.layers.24.mlp.gate_proj,24,mlp.gate_proj,3072,1024,1024,942.4744873046875,0.9203852415084839,79.16521453857422,5.793760776519775,51.549888610839844
model.layers.24.mlp.up_proj,24,mlp.up_proj,3072,1024,1024,947.5185546875,0.9253110885620117,218.52450561523438,4.128608703613281,61.03146743774414
model.layers.24.mlp.down_proj,24,mlp.down_proj,1024,3072,1024,926.7833862304688,0.9050619006156921,191.7126922607422,4.264986515045166,59.05315399169922
model.layers.25.mlp.gate_proj,25,mlp.gate_proj,3072,1024,1024,942.8147583007812,0.9207175374031067,94.16393280029297,5.180798530578613,50.27348327636719
model.layers.25.mlp.up_proj,25,mlp.up_proj,3072,1024,1024,947.6441650390625,0.9254337549209595,179.50244140625,4.580680847167969,61.37128829956055
model.layers.25.mlp.down_proj,25,mlp.down_proj,1024,3072,1024,941.144287109375,0.919086217880249,221.23004150390625,3.9479801654815674,58.72148895263672
model.layers.26.mlp.gate_proj,26,mlp.gate_proj,3072,1024,1024,939.292236328125,0.9172775745391846,65.10549926757812,6.150835037231445,49.629844665527344
