layer_index,hidden_size,max_rank,target_module_intermediate_size,target_module_original_params,target_module_factorized_params_per_rank,mlp_input_effective_rank,mlp_input_effective_rank_ratio,normalized_mlp_input_effective_rank,mlp_output_uncentered_trace,log_mlp_output_uncentered_trace,normalized_log_mlp_output_trace,trace_weight,min_log_trace,max_log_trace,alpha,beta,trace_mix,allocation_rule,target_factorized_param_ratio,trace_aware_unscaled_rank_score,rank_budget_scale,trace_aware_raw_rank,trace_aware_clipped_rank,initial_floor_rank,fractional_part,target_rank,budget_adjustment,uniform_rank,uniform_total_rank_budget,rounding,requested_uniform_rank,requested_total_rank_budget_per_module,actual_targeted_factorized_param_ratio
11,1024,1024,3072,3145728,4096,298.1661307997103,0.2911778621090921,0.5185440050411644,131.06204295158386,4.875670821400618,0.21617119311227062,0.6080855965561354,3.0732740847504436,11.411095191719502,0.5,0.5,0.25,mixture,0.5,0.442950802058941,897.5915779071827,397.58890935533697,397.58890935533697,397,0.5889093553369662,398,1,384,9984,round,384.0,9984.0,0.5
12,1024,1024,3072,3145728,4096,297.410779664746,0.2904402145163535,0.5149206188576626,136.17220449447632,4.9139202942870455,0.22075865935743352,0.6103793296787168,3.0732740847504436,11.411095191719502,0.5,0.5,0.25,mixture,0.5,0.44138012898260537,897.5915779071827,396.1790864303726,396.1790864303726,396,0.17908643037259253,396,0,384,9984,round,384.0,9984.0,0.5
13,1024,1024,3072,3145728,4096,299.3761626409108,0.2923595338290145,0.5243484745812946,135.45276433229446,4.908622976830011,0.22012332341185814,0.6100616617059291,3.0732740847504436,11.411095191719502,0.5,0.5,0.25,mixture,0.5,0.44829218678893556,897.5915779071827,402.38329130334216,402.38329130334216,402,0.3832913033421619,402,0,384,9984,round,384.0,9984.0,0.5
14,1024,1024,3072,3145728,4096,298.1413112623489,0.2911536242796376,0.5184249468116955,158.63427424430847,5.066601390798636,0.239070529395515,0.6195352646977575,3.0732740847504436,11.411095191719502,0.5,0.5,0.25,mixture,0.5,0.4485863424576504,897.5915779071827,402.64732295417423,402.64732295417423,402,0.6473229541742285,403,1,384,9984,round,384.0,9984.0,0.5
15,1024,1024,3072,3145728,4096,251.6299821720854,0.24573240446492714,0.29531214615385953,240.63357400894165,5.483275336652188,0.28904449027904616,0.644522245139523,3.0732740847504436,11.411095191719502,0.5,0.5,0.25,mixture,0.5,0.2937452321851562,897.5915779071827,263.6632464597861,263.6632464597861,263,0.6632464597860803,264,1,384,9984,round,384.0,9984.0,0.5
16,1024,1024,3072,3145728,4096,219.80522009772315,0.21465353525168276,0.1426501617392574,724.3226075172424,6.585236883633182,0.42120870114942977,0.7106043505747148,3.0732740847504436,11.411095191719502,0.5,0.5,0.25,mixture,0.5,0.2122897965918005,897.5915779071827,190.54953349642906,190.54953349642906,190,0.5495334964290635,190,0,384,9984,round,384.0,9984.0,0.5
17,1024,1024,3072,3145728,4096,197.92164951083603,0.19328286085042581,0.03767563580045961,770.0903038978577,6.646507785760653,0.4285572519688109,0.7142786259844054,3.0732740847504436,11.411095191719502,0.5,0.5,0.25,mixture,0.5,0.13539603984254744,897.5915779071827,121.53034504465593,121.53034504465593,121,0.530345044655931,121,0,384,9984,round,384.0,9984.0,0.5
18,1024,1024,3072,3145728,4096,200.4981937471705,0.19579901733122118,0.05003520521787547,1198.0179481506348,7.088423760324968,0.48155862593627896,0.7407793129681395,3.0732740847504436,11.411095191719502,0.5,0.5,0.25,mixture,0.5,0.15791606039747635,897.5915779071827,141.74412582905677,141.74412582905677,141,0.7441258290567703,142,1,384,9984,round,384.0,9984.0,0.5
19,1024,1024,3072,3145728,4096,207.32949709019636,0.20247021200214488,0.0828046669988504,2415.680944442749,7.7897364909147,0.5656708564090039,0.782835428204502,3.0732740847504436,11.411095191719502,0.5,0.5,0.25,mixture,0.5,0.20352121435138879,897.5915779071827,182.67892792724902,182.67892792724902,182,0.6789279272490205,183,1,384,9984,round,384.0,9984.0,0.5
20,1024,1024,3072,3145728,4096,212.8535873720566,0.20786483141802403,0.10930348520034061,3530.3433628082275,8.169150415114276,0.6111760212874452,0.8055880106437225,3.0732740847504436,11.411095191719502,0.5,0.5,0.25,mixture,0.5,0.23477161922211676,897.5915779071827,210.72902814540404,210.72902814540404,210,0.7290281454040439,211,1,384,9984,round,384.0,9984.0,0.5
21,1024,1024,3072,3145728,4096,241.33974139415142,0.235683341205226,0.24595031357855848,5855.095432281494,8.67506757517849,0.6718534037322844,0.8359267018661423,3.0732740847504436,11.411095191719502,0.5,0.5,0.25,mixture,0.5,0.35242608611699,897.5915779071827,316.3346867334017,316.3346867334017,316,0.3346867334017247,316,0,384,9984,round,384.0,9984.0,0.5
22,1024,1024,3072,3145728,4096,252.63023868510336,0.24670921746592125,0.30011033266800063,7201.595020294189,8.882057811066282,0.6966788627139819,0.848339431356991,3.0732740847504436,11.411095191719502,0.5,0.5,0.25,mixture,0.5,0.399252465179496,897.5915779071827,358.3656502037963,358.3656502037963,358,0.3656502037962923,358,0,384,9984,round,384.0,9984.0,0.5
