base_model_id,layer_index,token_count,hidden_size,mlp_input_hook_name,mlp_output_hook_name,gate_proj_weight_effective_rank,gate_proj_weight_effective_rank_ratio,up_proj_weight_effective_rank,up_proj_weight_effective_rank_ratio,mean_weight_effective_rank_ratio,mlp_input_effective_rank_centered,mlp_input_effective_rank_centered_ratio,mlp_input_effective_rank_uncentered,mlp_input_effective_rank_uncentered_ratio,mlp_output_effective_rank_centered,mlp_output_effective_rank_centered_ratio,mlp_output_effective_rank_uncentered,mlp_output_effective_rank_uncentered_ratio,mlp_output_uncentered_trace,mlp_output_uncentered_trace_log,residual_stream_uncentered_trace,residual_stream_uncentered_trace_log,output_to_residual_trace_ratio
Qwen2.5-1.5B,10,65536,1536,post_attention_layernorm,mlp,1447.3612060546875,0.9422924518585205,1478.178466796875,0.9623557726542155,0.9523241122563679,635.28271484375,0.4135955174763997,277.4571838378906,0.18063618739446005,707.8461303710938,0.4608373244603475,662.6233520507812,0.43139541149139404,296.236083984375,5.691156717453628,255709.40551757812,12.451796944011381,0.001158487242128491
Qwen2.5-1.5B,11,65536,1536,post_attention_layernorm,mlp,1438.9595947265625,0.9368226528167725,1474.45458984375,0.9599313735961914,0.9483770132064819,562.6806030273438,0.36632851759592694,202.88497924804688,0.13208657503128052,646.1324462890625,0.4206591447194417,602.986083984375,0.39256906509399414,283.1519775390625,5.645983776604161,255909.7762451172,12.452580224798835,0.0011064523665084683
Qwen2.5-1.5B,12,65536,1536,post_attention_layernorm,mlp,1449.245849609375,0.9435194333394369,1475.17822265625,0.9604024887084961,0.9519609610239665,582.5463256835938,0.37926193078358966,239.61465454101562,0.15599912405014038,733.7206420898438,0.4776827096939087,678.5676879882812,0.4417758385340373,255.30764770507812,5.542469279557011,256008.01733398438,12.452964040682186,0.000997264266813986
Qwen2.5-1.5B,13,65536,1536,post_attention_layernorm,mlp,1449.6121826171875,0.9437579313913981,1471.2401123046875,0.9578386147816976,0.9507982730865479,627.3328857421875,0.4084198474884033,288.08392333984375,0.1875546375910441,747.7055053710938,0.48678743839263916,685.1258544921875,0.4460454781850179,210.53567504882812,5.349655116429361,256333.60009765625,12.454235000512197,0.0008213346785931289
Qwen2.5-1.5B,14,65536,1536,post_attention_layernorm,mlp,1446.3138427734375,0.94161057472229,1474.9783935546875,0.9602723916371664,0.9509414831797283,650.3300170898438,0.4233919382095337,315.0309143066406,0.20509825150171915,712.6097412109375,0.4639386336008708,653.9970092773438,0.4257793029149373,238.49044799804688,5.474329259203706,256303.05627441406,12.454115836878858,0.0009305017718661306
Qwen2.5-1.5B,15,65536,1536,post_attention_layernorm,mlp,1440.1326904296875,0.9375863869984945,1466.6353759765625,0.9548407395680746,0.9462135632832845,529.0030517578125,0.3444030284881592,217.8570556640625,0.14183402061462402,530.3975219726562,0.34531088670094806,493.58258056640625,0.3213428258895874,219.25738525390625,5.390246314853323,256309.294921875,12.454140177484177,0.0008554406320720345
Qwen2.5-1.5B,16,65536,1536,post_attention_layernorm,mlp,1442.54638671875,0.9391578038533529,1468.1480712890625,0.9558255672454834,0.9474916855494182,495.3443298339844,0.32248979806900024,202.5520782470703,0.13186984260876974,689.0774536132812,0.4486181338628133,647.5253295898438,0.4215659697850545,248.74740600585938,5.516437947867181,256385.1982421875,12.454436273197624,0.0009702096989658768
Qwen2.5-1.5B,17,65536,1536,post_attention_layernorm,mlp,1443.5296630859375,0.9397979577382406,1469.207763671875,0.9565154711405436,0.9481567144393921,438.6432189941406,0.285575012365977,165.09390258789062,0.10748300949732463,688.752197265625,0.4484063784281413,637.49365234375,0.4150349299112956,336.98321533203125,5.820033122975589,256746.51098632812,12.455844538550771,0.001312513319216929
Qwen2.5-1.5B,18,65536,1536,post_attention_layernorm,mlp,1449.4110107421875,0.9436269601186117,1470.65576171875,0.9574581782023112,0.9505425691604614,426.20489501953125,0.2774771451950073,170.2737274169922,0.1108552912871043,715.2954711914062,0.4656871557235718,656.7354736328125,0.427562157313029,402.1432800292969,5.996808443100545,257325.79174804688,12.45809823323078,0.0015627787533363305
Qwen2.5-1.5B,19,65536,1536,post_attention_layernorm,mlp,1447.1292724609375,0.9421414534250895,1471.564208984375,0.9580496152242025,0.950095534324646,416.26934814453125,0.2710086901982625,158.46595764160156,0.10316794117291768,676.6239013671875,0.440510352452596,640.4805297851562,0.41697951157887775,742.5660400390625,6.610111809535229,257993.91967773438,12.46069129648548,0.002878230777557151
Qwen2.5-1.5B,20,65536,1536,post_attention_layernorm,mlp,1448.3387451171875,0.9429288705190023,1462.671875,0.9522603352864584,0.9475946029027303,462.7901916503906,0.3012956976890564,197.8453369140625,0.12880555788675943,762.60498046875,0.4964876174926758,708.4657592773438,0.4612407286961873,709.69580078125,6.5648364286207315,259537.32983398438,12.466655824167036,0.002734465216372589
Qwen2.5-1.5B,21,65536,1536,post_attention_layernorm,mlp,1454.3707275390625,0.9468559424082438,1470.1397705078125,0.9571222464243571,0.9519890944163004,468.3785095214844,0.30493392546971637,175.06582641601562,0.11397514740626018,797.4292602539062,0.5191596746444702,582.00634765625,0.3789103825887044,1254.1455078125,7.134209749399531,261898.8106689453,12.475713489320716,0.0047886643876279755
Qwen2.5-1.5B,22,65536,1536,post_attention_layernorm,mlp,1460.2265625,0.9506683349609375,1470.3634033203125,0.9572678407033285,0.953968087832133,458.91729736328125,0.2987742821375529,155.31887817382812,0.10111906131108601,767.2822265625,0.49953269958496094,488.2422180175781,0.3178660273551941,1919.196533203125,7.559661905147824,265144.3885498047,12.488029819036804,0.007238307186888187
Qwen2.5-1.5B,23,65536,1536,post_attention_layernorm,mlp,1449.7579345703125,0.9438528219858805,1463.1700439453125,0.9525846640268961,0.9482187430063883,492.5873107910156,0.32069486379623413,171.4590301513672,0.11162697275479634,737.8012084960938,0.4803393284479777,509.0663146972656,0.33142338196436566,2758.481201171875,7.922435517815918,271732.9949951172,12.51257522711057,0.010151440023768341
Qwen2.5-1.5B,24,65536,1536,post_attention_layernorm,mlp,1456.9813232421875,0.9485555489857992,1466.2137451171875,0.954566240310669,0.9515608946482341,528.0823974609375,0.34380364418029785,199.131103515625,0.12964264551798502,608.6004028320312,0.3962242205937703,411.571533203125,0.26795021692911786,3512.85009765625,8.16418298060569,282122.1174316406,12.55009529672299,0.012451523225602574
Qwen2.5-1.5B,25,65536,1536,post_attention_layernorm,mlp,1460.9202880859375,0.9511199792226156,1468.2615966796875,0.9558994770050049,0.9535097281138103,535.6488037109375,0.3487296899159749,208.42953491210938,0.13569631179173788,663.5567626953125,0.43200310071309406,408.2119140625,0.2657629648844401,4596.9755859375,8.433153884923625,294596.6435546875,12.593362389716598,0.015604304008589764
Qwen2.5-1.5B,26,65536,1536,post_attention_layernorm,mlp,1460.3135986328125,0.9507249991099039,1466.37451171875,0.9546709060668945,0.9526979525883992,495.976806640625,0.32290156682332355,211.2969207763672,0.13756309946378073,1.2590303421020508,0.0008196812123060226,1.2901790142059326,0.0008399602957069874,251070.5625,12.43348930410356,317160.8115234375,12.667164216102439,0.7916191199474416
Qwen2.5-1.5B,27,65536,1536,post_attention_layernorm,mlp,1468.7061767578125,0.9561889171600342,1473.4986572265625,0.9593090216318766,0.9577489693959553,351.7314147949219,0.2289918065071106,73.29212188720703,0.04771622518698374,41.5496711730957,0.02705056716998418,5.031598091125488,0.0032757800072431564,50642.671875,10.832549817570735,101828.70202636719,11.531047288608654,0.49733199841717274
