layer_index,hidden_size,max_rank,target_module_intermediate_size,target_module_original_params,target_module_factorized_params_per_rank,mlp_input_effective_rank,mlp_input_effective_rank_ratio,normalized_mlp_input_effective_rank,mlp_output_uncentered_trace,log_mlp_output_uncentered_trace,normalized_log_mlp_output_trace,trace_weight,min_log_trace,max_log_trace,alpha,beta,trace_mix,allocation_rule,target_factorized_param_ratio,trace_aware_unscaled_rank_score,rank_budget_scale,trace_aware_raw_rank,trace_aware_clipped_rank,initial_floor_rank,fractional_part,target_rank,budget_adjustment,uniform_rank,uniform_total_rank_budget,rounding,requested_uniform_rank,requested_total_rank_budget_per_module,actual_targeted_factorized_param_ratio
11,2048,2048,8192,16777216,10240,888.7383725836512,0.43395428348811094,0.4856794101447876,3470.3511600494385,8.152011066682155,0.2504983920277998,0.6252491960138999,6.159526540304157,14.113607643375175,0.5,0.5,0.25,mixture,0.5,0.4268841556155406,1826.260003414147,779.6014594918825,779.6014594918825,779,0.6014594918824514,780,1,819,18018,round,819.2,18022.4,0.4998779296875
12,2048,2048,8192,16777216,10240,901.3801010988547,0.4401270024896751,0.51744396034307,3694.3032245635986,8.214547243087036,0.2583605417336579,0.6291802708668289,6.159526540304157,14.113607643375175,0.5,0.5,0.25,mixture,0.5,0.452673105690717,1826.260003414147,826.6987875442213,826.6987875442213,826,0.6987875442213181,827,1,819,18018,round,819.2,18022.4,0.4998779296875
13,2048,2048,8192,16777216,10240,856.4252710062823,0.4181764018585363,0.4044871004157714,4370.073686599731,8.38253514986961,0.2794802543196555,0.6397401271598278,6.159526540304157,14.113607643375175,0.5,0.5,0.25,mixture,0.5,0.37323538889174246,1826.260003414147,681.6248625917141,681.6248625917141,681,0.6248625917140771,682,1,819,18018,round,819.2,18022.4,0.4998779296875
14,2048,2048,8192,16777216,10240,762.987865309047,0.3725526686079331,0.16970930400148526,5614.943168640137,8.633186745774953,0.31099258021341175,0.6554962901067058,6.159526540304157,14.113607643375175,0.5,0.5,0.25,mixture,0.5,0.20503012305446688,1826.260003414147,374.4383132294537,374.4383132294537,374,0.43831322945368356,374,0,819,18018,round,819.2,18022.4,0.4998779296875
15,2048,2048,8192,16777216,10240,720.8234334155396,0.35196456709743146,0.06376380676567288,8251.81477355957,9.018188427690987,0.3593956172112854,0.6796978086056427,6.159526540304157,14.113607643375175,0.5,0.5,0.25,mixture,0.5,0.137671759377076,1826.260003414147,251.4244277500104,251.4244277500104,251,0.424427750010409,251,0,819,18018,round,819.2,18022.4,0.4998779296875
16,2048,2048,8192,16777216,10240,695.4465674062386,0.33957351924132745,0.0,13798.608741760254,9.532323050248566,0.42403345732069475,0.7120167286603474,6.159526540304157,14.113607643375175,0.5,0.5,0.25,mixture,0.5,0.10600836433017369,1826.260003414147,193.59883580355114,193.59883580355114,193,0.5988358035511396,194,1,819,18018,round,819.2,18022.4,0.4998779296875
17,2048,2048,8192,16777216,10240,700.4301300554591,0.34200689944114215,0.012522071309083395,22466.545852661133,10.019782630739838,0.4853176678001513,0.7426588339000757,6.159526540304157,14.113607643375175,0.5,0.5,0.25,mixture,0.5,0.13072097043185038,1826.260003414147,238.73047990717168,238.73047990717168,238,0.7304799071716843,239,1,819,18018,round,819.2,18022.4,0.4998779296875
18,2048,2048,8192,16777216,10240,734.3524989949409,0.3585705561498735,0.09775794627087732,40657.07601928711,10.612928171642396,0.5598888889401455,0.7799444444700727,6.159526540304157,14.113607643375175,0.5,0.5,0.25,mixture,0.5,0.2132906819381944,1826.260003414147,389.5242415246526,389.5242415246526,389,0.5242415246526093,389,0,819,18018,round,819.2,18022.4,0.4998779296875
19,2048,2048,8192,16777216,10240,748.9519555192782,0.36569919703089754,0.13444162992040629,71021.2113647461,11.170733863022217,0.6300171267782606,0.8150085633891303,6.159526540304157,14.113607643375175,0.5,0.5,0.25,mixture,0.5,0.25833550413486983,1826.260003414147,471.78779866334276,471.78779866334276,471,0.7877986633427554,472,1,819,18018,round,819.2,18022.4,0.4998779296875
20,2048,2048,8192,16777216,10240,811.1774094245566,0.39608271944558426,0.29079394770733175,90735.29177856445,11.41570166492627,0.6608148768551957,0.8304074384275979,6.159526540304157,14.113607643375175,0.5,0.5,0.25,mixture,0.5,0.38329917999429775,1826.260003414147,700.0039617650259,700.0039617650259,700,0.003961765025906061,700,0,819,18018,round,819.2,18022.4,0.4998779296875
