layer_index,hook_name,activation_name,direct_target_weight_names,block_weight_names,token_count,hidden_size,effective_rank,effective_rank_ratio,second_moment_effective_rank,second_moment_effective_rank_ratio,covariance_trace,covariance_top_eigenvalue,second_moment_trace,second_moment_top_eigenvalue,positive_covariance_eigenvalues
13,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,299.3804157458449,0.2923636872518017,60.7160854151886,0.05929305216327012,601.3808830492335,46.68317240389314,983.9148072360383,399.5573963902265,1024
14,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,298.1634323408321,0.29117522689534386,62.411899772190935,0.06094912087128021,649.4247219720302,50.926562713998706,1054.2258744050894,421.0992180365588,1024
15,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,251.64672870677833,0.24574875850271322,45.205118151202306,0.0441456231945335,772.0493620820181,75.45207660413368,1340.850651286038,596.1005489607359,1024
16,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,219.82876607095508,0.21467652936616707,40.08352890574475,0.03914407119701636,871.800588225065,89.90309457597326,1536.3189107484727,696.005368886578,1024
17,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,197.92918493274854,0.19329021966088725,39.75206461385036,0.03882037559946324,1379.0487747888164,143.19309386449135,2385.881080527093,1058.0655590805309,1024
18,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,200.49782417601637,0.19579865642189098,44.516633778507774,0.043473275174324,1699.8532683626345,174.74720481151064,2839.627757952681,1198.0944330017842,1024
19,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,207.32476469714047,0.20246559052455124,53.938922176757536,0.05267472868823978,1964.2316362062206,181.78507786520225,3110.3188311570834,1194.2499845783595,1024
20,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,212.855090322219,0.207866299142792,60.036245755267295,0.05862914624537822,2317.9670847102343,201.1346414411865,3565.5771728738596,1300.1442013071478,1024
21,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,241.33050087371296,0.23567431725948532,67.48573058422193,0.06590403377365422,2414.6705634243535,208.722271863495,3661.787927705208,1317.7859034008784,1024
22,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,252.61529114105772,0.24669462025493918,72.42996146912114,0.07073238424718861,2575.8679076766,204.65988857415263,3849.6518666009597,1355.3236653754734,1024
