module_name,layer_index,block_name,out_features,in_features,num_singular_values,effective_rank,effective_rank_ratio,singular_value_effective_rank,singular_value_effective_rank_ratio,stable_rank,spectral_norm,frobenius_norm
model.layers.15.mlp.down_proj,15,mlp.down_proj,1024,3072,1024,683.0450439453125,0.6670361757278442,906.6338500976562,0.8853846192359924,103.61116027832031,4.108675479888916,41.822025299072266
model.layers.16.mlp.gate_proj,16,mlp.gate_proj,3072,1024,1024,694.9277954101562,0.6786404252052307,916.546142578125,0.8950645923614502,77.88465118408203,5.455592632293701,48.14685821533203
model.layers.16.mlp.up_proj,16,mlp.up_proj,3072,1024,1024,776.7125244140625,0.7585083246231079,944.0653686523438,0.9219388365745544,205.5553741455078,3.211784839630127,46.048011779785156
model.layers.16.mlp.down_proj,16,mlp.down_proj,1024,3072,1024,744.8558349609375,0.7273982763290405,939.8836059570312,0.9178550839424133,104.0176010131836,4.146167278289795,42.28635025024414
model.layers.17.mlp.gate_proj,17,mlp.gate_proj,3072,1024,1024,718.0615234375,0.7012319564819336,921.4246826171875,0.8998287916183472,89.85310363769531,5.098623752593994,48.33030319213867
model.layers.17.mlp.up_proj,17,mlp.up_proj,3072,1024,1024,762.6962890625,0.7448205947875977,935.8984375,0.9139633178710938,184.24752807617188,3.5089027881622314,47.62907409667969
model.layers.17.mlp.down_proj,17,mlp.down_proj,1024,3072,1024,743.6959838867188,0.7262656092643738,932.0989990234375,0.9102529287338257,146.085205078125,3.523242235183716,42.58391571044922
model.layers.18.mlp.gate_proj,18,mlp.gate_proj,3072,1024,1024,724.9968872070312,0.7080047726631165,925.9406127929688,0.9042388796806335,78.79100036621094,5.442576885223389,48.310646057128906
model.layers.18.mlp.up_proj,18,mlp.up_proj,3072,1024,1024,771.0169067382812,0.7529461979866028,940.3292236328125,0.9182902574539185,142.9483184814453,4.023921966552734,48.110408782958984
model.layers.18.mlp.down_proj,18,mlp.down_proj,1024,3072,1024,739.3201293945312,0.7219923138618469,933.0408935546875,0.9111727476119995,110.69259643554688,4.2213311195373535,44.41285705566406
model.layers.19.mlp.gate_proj,19,mlp.gate_proj,3072,1024,1024,717.2847290039062,0.7004733681678772,922.6029663085938,0.9009794592857361,73.51045989990234,5.5441484451293945,47.534549713134766
model.layers.19.mlp.up_proj,19,mlp.up_proj,3072,1024,1024,767.9550170898438,0.7499560713768005,939.1963500976562,0.9171839356422424,117.49590301513672,4.6455159187316895,50.35531234741211
model.layers.19.mlp.down_proj,19,mlp.down_proj,1024,3072,1024,740.06787109375,0.7227225303649902,931.4285888671875,0.9095982313156128,129.1743927001953,4.1343994140625,46.989479064941406
model.layers.20.mlp.gate_proj,20,mlp.gate_proj,3072,1024,1024,729.2288818359375,0.7121375799179077,925.2661743164062,0.9035802483558655,73.72462463378906,5.668671131134033,48.672935485839844
model.layers.20.mlp.up_proj,20,mlp.up_proj,3072,1024,1024,756.0035400390625,0.738284707069397,932.2461547851562,0.9103966355323792,118.43338775634766,4.873043537139893,53.03192138671875
model.layers.20.mlp.down_proj,20,mlp.down_proj,1024,3072,1024,756.5963745117188,0.7388636469841003,929.6741333007812,0.9078848958015442,143.48880004882812,4.162414073944092,49.860233306884766
model.layers.21.mlp.gate_proj,21,mlp.gate_proj,3072,1024,1024,732.3270263671875,0.7151631116867065,926.7599487304688,0.9050390124320984,70.27545166015625,5.9325714111328125,49.73301315307617
model.layers.21.mlp.up_proj,21,mlp.up_proj,3072,1024,1024,763.1197509765625,0.7452341318130493,934.3894653320312,0.9124897122383118,154.76011657714844,4.553800106048584,56.65046691894531
